Time,GND_truth_X1,GND_truth_Y1,GND_truth_X2,GND_truth_Y2,est_X1,est_Y1,est_X2,est_Y2,
1.63018e+09,242.797,129.02,117.686,128.972,251.451,136.559,109.156,140.243,
1.63018e+09,242.54,128.452,117.941,128.401,251.451,136.559,109.156,140.243,
1.63018e+09,242.54,128.452,117.941,128.401,251.451,136.559,109.156,140.243,
1.63018e+09,242.033,127.275,118.444,127.222,251.451,136.559,109.156,140.243,
1.63018e+09,242.033,127.275,118.444,127.222,251.451,136.559,109.156,140.243,
1.63018e+09,241.537,126.074,118.691,126.623,249.12,135.087,110.409,139.236,
1.63018e+09,241.293,125.471,119.177,125.413,249.12,135.087,110.409,139.236,
1.63018e+09,241.293,125.471,119.177,125.413,249.12,135.087,110.409,139.236,
1.63018e+09,240.815,124.268,119.651,124.207,249.12,135.087,110.409,139.236,
1.63018e+09,240.815,124.268,119.651,124.207,249.12,135.087,110.409,139.236,
1.63018e+09,240.58,123.667,119.883,123.604,249.12,135.087,110.409,139.236,
1.63018e+09,240.12,122.453,120.338,122.388,249.12,135.087,110.409,139.236,
1.63018e+09,239.895,121.842,120.338,122.388,249.12,135.087,110.409,139.236,
1.63018e+09,239.673,121.224,120.781,121.156,246.748,133.322,111.637,137.872,
1.63018e+09,239.454,120.603,120.997,120.534,246.748,133.322,111.637,137.872,
1.63018e+09,239.454,120.603,120.997,120.534,246.748,133.322,111.637,137.872,
1.63018e+09,239.239,119.981,121.21,119.911,246.748,133.322,111.637,137.872,
1.63018e+09,239.027,119.355,121.419,119.282,246.748,133.322,111.637,137.872,
1.63018e+09,238.819,118.734,121.625,118.66,246.748,133.322,111.637,137.872,
1.63018e+09,238.613,118.119,121.827,118.044,246.748,133.322,111.637,137.872,
1.63018e+09,238.213,116.909,122.222,116.832,246.748,133.322,111.637,137.872,
1.63018e+09,238.213,116.909,122.414,116.231,246.748,133.322,111.637,137.872,
1.63018e+09,238.017,116.309,122.414,116.231,246.748,133.322,111.637,137.872,
1.63018e+09,237.637,115.116,122.788,115.036,244.28,131.166,112.848,136.071,
1.63018e+09,237.637,115.116,122.788,115.036,244.28,131.166,112.848,136.071,
1.63018e+09,237.269,113.949,123.148,113.866,244.28,131.166,112.848,136.071,
1.63018e+09,237.269,113.949,123.148,113.866,244.28,131.166,112.848,136.071,
1.63018e+09,236.912,112.849,123.323,113.309,244.28,131.166,112.848,136.071,
1.63018e+09,236.738,112.311,123.665,112.225,244.28,131.166,112.848,136.071,
